gid	gname	t0	t5	t10	t15	t20	t25	t30	t35	t40	t45	t50	t55	t60	t65	t70	t75	t80	t85	t90	t95	t100	t105	t110	t115	t120
YOR378W		0.04362	-0.06585	-0.1307	-0.158	-0.1424	-0.09703	-0.05687	-0.03366	-0.01457	0.002286	0.0153	0.01837	0.006574	-0.02149	-0.04822	-0.05005	-0.004573	0.06153	0.09833	0.08014	0.03773	0.005819	-0.005435	-0.005563	0.01062
YOR380W		-0.116	-0.1339	-0.1427	-0.1394	-0.114	-0.06921	-0.02052	0.02305	0.05451	0.06126	0.04181	0.01143	-0.01735	-0.04898	-0.0855	-0.1107	-0.1254	-0.1271	-0.09458	-0.004583	0.112	0.1951	0.2269	0.2237	0.1756
YOR381W	FRE3	-0.139	-0.1858	-0.1903	-0.1634	-0.0916	0.005746	0.06929	0.07067	0.04636	0.03418	0.04666	0.05302	0.0261	-0.0538	-0.1488	-0.1998	-0.1788	-0.1216	-0.06467	-0.0154	0.02982	0.05084	0.04208	0.009935	-0.04773
YOR382W		-0.1927	-0.1879	-0.1345	-0.04308	0.08928	0.2482	0.3973	0.5336	0.6776	0.8284	0.999	1.15	1.204	1.108	0.9239	0.7377	0.592	0.465	0.3486	0.227	0.112	0.03652	0.009488	0.02224	0.08158
YOR383C		-0.4245	-0.5831	-0.636	-0.5917	-0.4168	-0.1493	0.09586	0.2643	0.3989	0.5304	0.7072	0.8938	0.9946	0.9356	0.7696	0.5918	0.4301	0.2762	0.1707	0.1385	0.1523	0.1748	0.194	0.2186	0.2427
YOR384W	FRE5	-0.2939	-0.3289	-0.3352	-0.3214	-0.2834	-0.2344	-0.2091	-0.2236	-0.2576	-0.2911	-0.325	-0.3562	-0.3584	-0.297	-0.1975	-0.1239	-0.1248	-0.1748	-0.2271	-0.2588	-0.2796	-0.2924	-0.2988	-0.3028	-0.3109
YOR385W		0.1269	-0.3126	-0.6867	-0.9876	-1.183	-1.272	-1.298	-1.284	-1.254	-1.245	-1.267	-1.287	-1.285	-1.25	-1.21	-1.208	-1.282	-1.393	-1.475	-1.504	-1.509	-1.51	-1.512	-1.509	-1.507
YOR386W	PHR1	0.1175	0.01943	-0.05552	-0.1067	-0.1265	-0.1196	-0.1035	-0.08761	-0.07403	-0.06887	-0.06711	-0.05602	-0.03021	0.01544	0.06418	0.08858	0.09355	0.08968	0.05798	-0.02898	-0.1463	-0.2343	-0.2746	-0.2795	-0.236
YOR387C		0.1167	0.1333	0.1362	0.129	0.1054	0.07181	0.04998	0.04862	0.0565	0.06548	0.07039	0.07458	0.08271	0.1034	0.1298	0.1429	0.1341	0.1084	0.06748	0.01098	-0.04469	-0.07268	-0.06686	-0.03802	0.01538
YOR388C	FDH1	0.1183	0.0805	0.05622	0.04625	0.06039	0.09652	0.1374	0.1692	0.1852	0.1792	0.145	0.09805	0.0643	0.05341	0.05131	0.04864	0.05611	0.07117	0.0645	0.01771	-0.04144	-0.07293	-0.06731	-0.03849	0.01847
YOR389W		0.2023	0.1655	0.1432	0.1335	0.1467	0.1763	0.1953	0.1859	0.1627	0.1483	0.1525	0.1579	0.1457	0.1019	0.04828	0.02001	0.04003	0.08193	0.1066	0.09557	0.07108	0.05532	0.05409	0.06057	0.078
